tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Liver,TET2,PlasmaB,NL→IA,NL,IA,0.10442563,0.18028814,72.5999984741211,↑,0.428571,NS,20/30,6,5
Liver,TET2,PlasmaB,NL→AR,NL,AR,0.10442563,0.11419276,9.399999618530272,↑,0.904762,NS,10/18,6,3
Liver,TET2,PlasmaB,NL→CR,NL,CR,0.10442563,0.22328258,113.8000030517578,↑,0.261905,NS,14/18,6,3
Liver,TET2,PlasmaB,IT→IA,IT,IA,0.14131346,0.18028814,27.600000381469727,↑,0.690476,NS,15/25,5,5
Liver,TET2,PlasmaB,IA→AR,IA,AR,0.18028814,0.11419276,-36.70000076293945,↓,0.571429,NS,10/15,5,3
Liver,TET2,PlasmaB,CR→AR,CR,AR,0.22328258,0.11419276,-48.900001525878906,↓,0.2,NS,8/9,3,3
Liver,TFAM,Myeloid,NL→IT,NL,IT,0.12523413,0.14824475,18.399999618530277,↑,0.699134,NS,21/36,6,6
Liver,TFAM,Myeloid,NL→IA,NL,IA,0.12523413,0.1859229,48.5,↑,0.536797,NS,19/30,6,5
Liver,TFAM,Myeloid,NL→AR,NL,AR,0.12523413,0.40860212,226.3000030517578,↑,0.261905,NS,14/18,6,3
Liver,TFAM,Myeloid,NL→CR,NL,CR,0.12523413,0.27620164,120.5,↑,0.095238,†,16/18,6,3
Liver,TFAM,Myeloid,IT→IA,IT,IA,0.14824475,0.1859229,25.399999618530277,↑,0.930736,NS,14/30,6,5
Liver,TFAM,Myeloid,IA→AR,IA,AR,0.1859229,0.40860212,119.8000030517578,↑,0.785714,NS,9/15,5,3
Liver,TFAM,Myeloid,CR→AR,CR,AR,0.27620164,0.40860212,47.900001525878906,↑,0.7,NS,3/9,3,3
Liver,TFAM,CD4_T,NL→IT,NL,IT,0.18874258,0.26940343,42.70000076293945,↑,0.025974,*,32/36,6,6
Liver,TFAM,CD4_T,NL→IA,NL,IA,0.18874258,0.22532149,19.399999618530277,↑,0.428571,NS,20/30,6,5
Liver,TFAM,CD4_T,NL→AR,NL,AR,0.18874258,0.24492325,29.799999237060547,↑,0.166667,NS,15/18,6,3
Liver,TFAM,CD4_T,NL→CR,NL,CR,0.18874258,0.32761815,73.5999984741211,↑,0.02381,*,18/18,6,3
Liver,TFAM,CD4_T,IT→IA,IT,IA,0.26940343,0.22532149,-16.399999618530273,↓,0.177489,NS,23/30,6,5
Liver,TFAM,CD4_T,IA→AR,IA,AR,0.22532149,0.24492325,8.699999809265137,↑,0.785714,NS,9/15,5,3
Liver,TFAM,CD4_T,CR→AR,CR,AR,0.32761815,0.24492325,-25.200000762939453,↓,0.4,NS,7/9,3,3
Liver,TFAM,CD8_T,NL→IT,NL,IT,0.16728085,0.25983146,55.29999923706055,↑,0.002165,**,36/36,6,6
Liver,TFAM,CD8_T,NL→IA,NL,IA,0.16728085,0.22369167,33.70000076293945,↑,0.246753,NS,22/30,6,5
Liver,TFAM,CD8_T,NL→AR,NL,AR,0.16728085,0.24028648,43.59999847412109,↑,0.095238,†,16/18,6,3
Liver,TFAM,CD8_T,NL→CR,NL,CR,0.16728085,0.3034142,81.4000015258789,↑,0.02381,*,18/18,6,3
Liver,TFAM,CD8_T,IT→IA,IT,IA,0.25983146,0.22369167,-13.899999618530272,↓,0.329004,NS,21/30,6,5
Liver,TFAM,CD8_T,IA→AR,IA,AR,0.22369167,0.24028648,7.400000095367432,↑,0.785714,NS,9/15,5,3
Liver,TFAM,CD8_T,CR→AR,CR,AR,0.3034142,0.24028648,-20.799999237060547,↓,0.2,NS,8/9,3,3
Liver,TFAM,NK,NL→IT,NL,IT,0.19599338,0.2997904,53.0,↑,0.041126,*,31/36,6,6
Liver,TFAM,NK,NL→IA,NL,IA,0.19599338,0.20584407,5.0,↑,0.792208,NS,17/30,6,5
Liver,TFAM,NK,NL→AR,NL,AR,0.19599338,0.24911249,27.100000381469727,↑,0.166667,NS,15/18,6,3
Liver,TFAM,NK,NL→CR,NL,CR,0.19599338,0.357831,82.5999984741211,↑,0.02381,*,18/18,6,3
Liver,TFAM,NK,IT→IA,IT,IA,0.2997904,0.20584407,-31.299999237060547,↓,0.082251,†,25/30,6,5
Liver,TFAM,NK,IA→AR,IA,AR,0.20584407,0.24911249,21.0,↑,0.392857,NS,11/15,5,3
Liver,TFAM,NK,CR→AR,CR,AR,0.357831,0.24911249,-30.399999618530277,↓,0.1,NS,9/9,3,3
Liver,TFAM,B,NL→IT,NL,IT,0.32215998,0.26369017,-18.100000381469727,↓,0.792208,NS,13/30,6,5
Liver,TFAM,B,NL→IA,NL,IA,0.32215998,0.2298748,-28.600000381469727,↓,0.177489,NS,23/30,6,5
Liver,TFAM,B,NL→AR,NL,AR,0.32215998,0.28222343,-12.399999618530272,↓,0.904762,NS,8/18,6,3
