tissue,lineage,gene1,gene2,rho,p_value,sig,n,q_global,q_stratified
Liver,Myeloid,AIM2,MT-ND2,0.343,0.109403,NS,23,0.33286997671840357,0.4660906159793814
Liver,Myeloid,AIM2,MTOR,0.256,0.238587,NS,23,0.509976385847797,0.6260068428571428
Liver,Myeloid,AIM2,MX1,0.125,0.568928,NS,23,0.7824267512338173,0.8381800213903743
Liver,Myeloid,AIM2,PRDM1,0.176,0.421159,NS,23,0.6828904075793383,0.7787201644295302
Liver,Myeloid,AIM2,PYCARD,0.467,0.024671,*,23,0.13510677907639682,0.24776967272727274
Liver,Myeloid,AIM2,RB1,0.034,0.877317,NS,23,0.949522801831152,0.973905947889182
Liver,Myeloid,AIM2,RORC,0.065,0.767595,NS,23,0.8962117141728455,0.9241133060188542
Liver,Myeloid,AIM2,RPTOR,0.21,0.335318,NS,23,0.610030575536846,0.7260388712613784
Liver,Myeloid,AIM2,SDHB,0.559,0.005539,**,23,0.051655208252427184,0.105241
Liver,Myeloid,AIM2,SIGLEC10,0.048,0.827472,NS,23,0.925510281322776,0.958522225648213
Liver,Myeloid,AIM2,SOCS1,0.231,0.289911,NS,23,0.5663494225137279,0.6962483568345323
Liver,Myeloid,AIM2,SOCS3,0.041,0.852305,NS,23,0.9388518468551115,0.9673186171232877
Liver,Myeloid,AIM2,STAT1,-0.004,0.985518,NS,23,0.9949386286975254,1.0
Liver,Myeloid,AIM2,STAT2,0.442,0.034695,*,23,0.16755295248868776,0.28691586407766995
Liver,Myeloid,AIM2,TAP1,0.551,0.006413,**,23,0.056565722222222226,0.11649108791208793
Liver,Myeloid,AIM2,TET2,0.287,0.184887,NS,23,0.4463124809697275,0.5856781666666667
Liver,Myeloid,AIM2,TFAM,0.769,1.8e-05,**,23,0.0011263778501628666,0.0017502352941176473
Liver,Myeloid,AIM2,TGFB1,0.202,0.354292,NS,23,0.6259821219534627,0.7341847142857143
Liver,Myeloid,AIM2,TGFBR1,0.342,0.110137,NS,23,0.33388699810635947,0.46737418320610685
Liver,Myeloid,AIM2,TGFBR2,0.137,0.532193,NS,23,0.7593552973113488,0.8192129609302327
