Gene,Lineage,Tissue,NL->IT,NL->IA,NL->CR,NL->AR
STAT5B,B,Liver,+23% p=0.513,+155% p=0.120,+38% p=0.517,*+198% p=0.028
TCF7,B,Liver,+18% p=0.774,*+327% p=0.034,+131% p=0.237,(t)+289% p=0.088
TCF7,B,Blood,*+232% p=0.036,+374% p=0.171,(t)+186% p=0.072,*+366% p=0.036
TET2,B,Liver,*+422% p=0.008,*+209% p=0.035,(t)+236% p=0.092,+128% p=0.154
TFAM,B,Blood,(t)+97% p=0.056,*+111% p=0.016,*+113% p=0.036,*+116% p=0.036
TGFB1,PlasmaB,Blood,*+198% p=0.016,*+216% p=0.016,+78% p=0.250,+96% p=0.143
TGFBR1,PlasmaB,Blood,*+1216% p=0.045,(t)+1635% p=0.081,*+1204% p=0.026,*+798% p=0.026
TGFBR2,PlasmaB,Blood,*+1706% p=0.010,*+1312% p=0.030,*+1930% p=0.026,(t)+579% p=0.057
TGFBR2,B,Blood,(t)+60% p=0.056,*+68% p=0.032,*+118% p=0.036,*+69% p=0.036
TIGIT,PlasmaB,Blood,(t)from_zero p=0.072,from_zero p=0.131,*from_zero p=0.017,*from_zero p=0.017
TIGIT,B,Liver,+367% p=0.169,*+1438% p=0.029,(t)+651% p=0.066,+856% p=0.220
TOX,B,Liver,+94% p=0.311,*+244% p=0.035,+62% p=0.511,+161% p=0.154
TOX2,B,Blood,*+689% p=0.031,(t)+256% p=0.096,-36% p=0.494,(t)+567% p=0.057
TP53,PlasmaB,Liver,*+380% p=0.008,+252% p=0.117,+199% p=0.358,+213% p=0.358
TYROBP,PlasmaB,Liver,*+238% p=0.009,(t)+206% p=0.082,*+182% p=0.024,*+236% p=0.048
TYROBP,PlasmaB,Blood,*+911% p=0.008,*+775% p=0.016,*+620% p=0.036,+171% p=0.393
TYROBP,B,Blood,+403% p=1.000,(t)+276% p=0.065,*+598% p=0.036,+168% p=0.230
UQCRC1,B,Blood,+48% p=0.222,(t)+51% p=0.064,+15% p=1.000,*+71% p=0.036
VEGFA,PlasmaB,Liver,*-93% p=0.028,(t)-90% p=0.062,(t)-100% p=0.059,(t)-100% p=0.059
VEGFB,PlasmaB,Blood,*+970% p=0.011,(t)+538% p=0.062,*+557% p=0.033,+286% p=0.127
VIM,PlasmaB,Liver,*+47% p=0.009,*+49% p=0.004,+41% p=0.167,*+39% p=0.024
VIM,PlasmaB,Blood,*+28% p=0.008,+20% p=0.286,*+20% p=0.036,*+33% p=0.036
VIM,B,Blood,(t)+29% p=0.056,(t)+32% p=0.064,+10% p=0.786,*+59% p=0.036
