Stage,tissue,donor,subcluster,proportion
IA,Blood,P190911,B_c02-STX16,9.579439252336448
IA,Blood,P190911,B_c03-CD1C,19.314641744548286
IA,Blood,P190911,B_c04-COCH,16.510903426791277
IA,Blood,P190911,B_c05-TCL1A,0.46728971962616817
IA,Blood,P190911,B_c06-CD70,0.8566978193146416
IA,Blood,P190911,B_c07-FCRL5,0.3115264797507788
IA,Blood,P190911,plasmaB_c01-SDC1,0.0778816199376947
IA,Blood,P190911,plasmaB_c02-CD52,2.7258566978193146
IA,Blood,P190911,plasmaB_c03-MKI67,1.0124610591900312
IA,Blood,P191028,B_c01-IGHD,25.07163323782235
IA,Blood,P191028,B_c02-STX16,7.736389684813753
IA,Blood,P191028,B_c03-CD1C,47.134670487106014
IA,Blood,P191028,B_c04-COCH,16.9054441260745
IA,Blood,P191028,B_c05-TCL1A,0.0
IA,Blood,P191028,B_c06-CD70,0.14326647564469913
IA,Blood,P191028,B_c07-FCRL5,0.28653295128939826
IA,Blood,P191028,plasmaB_c01-SDC1,0.0
IA,Blood,P191028,plasmaB_c02-CD52,2.722063037249284
IA,Blood,P191028,plasmaB_c03-MKI67,0.0
IA,Blood,P191112,B_c01-IGHD,33.797327394209354
IA,Blood,P191112,B_c02-STX16,21.26948775055679
IA,Blood,P191112,B_c03-CD1C,10.189309576837417
IA,Blood,P191112,B_c04-COCH,30.28953229398664
IA,Blood,P191112,B_c05-TCL1A,0.27839643652561247
IA,Blood,P191112,B_c06-CD70,0.22271714922048996
IA,Blood,P191112,B_c07-FCRL5,0.33407572383073497
IA,Blood,P191112,plasmaB_c01-SDC1,0.0
IA,Blood,P191112,plasmaB_c02-CD52,3.11804008908686
IA,Blood,P191112,plasmaB_c03-MKI67,0.5011135857461024
IA,Liver,P190719,B_c01-IGHD,36.392405063291136
IA,Liver,P190719,B_c02-STX16,1.1075949367088607
IA,Liver,P190719,B_c03-CD1C,20.253164556962027
IA,Liver,P190719,B_c04-COCH,29.430379746835445
IA,Liver,P190719,B_c05-TCL1A,0.6329113924050633
IA,Liver,P190719,B_c06-CD70,0.949367088607595
IA,Liver,P190719,B_c07-FCRL5,0.7911392405063291
IA,Liver,P190719,plasmaB_c01-SDC1,0.0
IA,Liver,P190719,plasmaB_c02-CD52,8.544303797468354
IA,Liver,P190719,plasmaB_c03-MKI67,1.89873417721519
IA,Liver,P190801,B_c01-IGHD,0.0
IA,Liver,P190801,B_c02-STX16,0.0
IA,Liver,P190801,B_c03-CD1C,3.076923076923077
IA,Liver,P190801,B_c04-COCH,9.230769230769232
IA,Liver,P190801,B_c05-TCL1A,13.846153846153847
IA,Liver,P190801,B_c06-CD70,23.076923076923077
IA,Liver,P190801,B_c07-FCRL5,38.46153846153847
IA,Liver,P190801,plasmaB_c01-SDC1,9.230769230769232
IA,Liver,P190801,plasmaB_c02-CD52,1.5384615384615385
IA,Liver,P190801,plasmaB_c03-MKI67,1.5384615384615385
IA,Liver,P190911,B_c01-IGHD,1.4925373134328357
IA,Liver,P190911,B_c02-STX16,1.4925373134328357
IA,Liver,P190911,B_c03-CD1C,0.9950248756218906
IA,Liver,P190911,B_c04-COCH,3.731343283582089
IA,Liver,P190911,B_c05-TCL1A,21.144278606965177
IA,Liver,P190911,B_c06-CD70,36.069651741293534
IA,Liver,P190911,B_c07-FCRL5,31.343283582089555
IA,Liver,P190911,plasmaB_c01-SDC1,2.2388059701492535
IA,Liver,P190911,plasmaB_c02-CD52,1.4925373134328357
IA,Liver,P190911,plasmaB_c03-MKI67,0.0
IA,Liver,P191028,B_c01-IGHD,0.0
IA,Liver,P191028,B_c02-STX16,0.0
IA,Liver,P191028,B_c03-CD1C,0.7352941176470588
IA,Liver,P191028,B_c04-COCH,2.941176470588235
IA,Liver,P191028,B_c05-TCL1A,22.794117647058822
IA,Liver,P191028,B_c06-CD70,30.14705882352941
IA,Liver,P191028,B_c07-FCRL5,27.941176470588236
IA,Liver,P191028,plasmaB_c01-SDC1,6.61764705882353
IA,Liver,P191028,plasmaB_c02-CD52,8.088235294117647
IA,Liver,P191028,plasmaB_c03-MKI67,0.7352941176470588
IA,Liver,P191112,B_c01-IGHD,0.591715976331361
IA,Liver,P191112,B_c02-STX16,0.8875739644970414
IA,Liver,P191112,B_c03-CD1C,1.4792899408284024
IA,Liver,P191112,B_c04-COCH,8.284023668639055
IA,Liver,P191112,B_c05-TCL1A,28.106508875739642
IA,Liver,P191112,B_c06-CD70,28.994082840236686
IA,Liver,P191112,B_c07-FCRL5,21.301775147928996
IA,Liver,P191112,plasmaB_c01-SDC1,6.804733727810651
IA,Liver,P191112,plasmaB_c02-CD52,3.2544378698224854
IA,Liver,P191112,plasmaB_c03-MKI67,0.2958579881656805
IT,Blood,P190326,B_c01-IGHD,33.55855855855856
IT,Blood,P190326,B_c02-STX16,6.306306306306306
IT,Blood,P190326,B_c03-CD1C,35.36036036036036
IT,Blood,P190326,B_c04-COCH,19.81981981981982
IT,Blood,P190326,B_c05-TCL1A,0.45045045045045046
IT,Blood,P190326,B_c06-CD70,0.45045045045045046
IT,Blood,P190326,B_c07-FCRL5,0.22522522522522523
IT,Blood,P190326,plasmaB_c01-SDC1,0.0
IT,Blood,P190326,plasmaB_c02-CD52,2.9279279279279278
IT,Blood,P190326,plasmaB_c03-MKI67,0.9009009009009009
IT,Blood,P190604,B_c01-IGHD,18.394648829431436
IT,Blood,P190604,B_c02-STX16,5.183946488294314
IT,Blood,P190604,B_c03-CD1C,52.34113712374582
IT,Blood,P190604,B_c04-COCH,18.394648829431436
IT,Blood,P190604,B_c05-TCL1A,0.16722408026755853
IT,Blood,P190604,B_c06-CD70,0.16722408026755853
IT,Blood,P190604,B_c07-FCRL5,0.16722408026755853
IT,Blood,P190604,plasmaB_c01-SDC1,0.0
IT,Blood,P190604,plasmaB_c02-CD52,4.682274247491638
IT,Blood,P190604,plasmaB_c03-MKI67,0.5016722408026756
IT,Blood,P190808,B_c01-IGHD,45.91002044989775
IT,Blood,P190808,B_c02-STX16,3.5787321063394684
IT,Blood,P190808,B_c03-CD1C,25.664621676891613
IT,Blood,P190808,B_c04-COCH,21.676891615541923
IT,Blood,P190808,B_c05-TCL1A,0.0
IT,Blood,P190808,B_c06-CD70,0.2044989775051125
IT,Blood,P190808,B_c07-FCRL5,0.0
IT,Blood,P190808,plasmaB_c01-SDC1,0.0
IT,Blood,P190808,plasmaB_c02-CD52,2.7607361963190185
IT,Blood,P190808,plasmaB_c03-MKI67,0.2044989775051125
IT,Blood,P190902,B_c01-IGHD,30.9375
IT,Blood,P190902,B_c02-STX16,5.0
IT,Blood,P190902,B_c03-CD1C,29.270833333333336
IT,Blood,P190902,B_c04-COCH,23.229166666666668
IT,Blood,P190902,B_c05-TCL1A,0.8333333333333334
IT,Blood,P190902,B_c06-CD70,0.5208333333333333
IT,Blood,P190902,B_c07-FCRL5,1.4583333333333333
IT,Blood,P190902,plasmaB_c01-SDC1,0.10416666666666667
IT,Blood,P190902,plasmaB_c02-CD52,8.229166666666666
IT,Blood,P190902,plasmaB_c03-MKI67,0.4166666666666667
IT,Blood,P190910,B_c01-IGHD,37.38601823708207
IT,Blood,P190910,B_c02-STX16,15.957446808510639
IT,Blood,P190910,B_c03-CD1C,23.860182370820667
IT,Blood,P190910,B_c04-COCH,16.565349544072948
IT,Blood,P190910,B_c05-TCL1A,0.1519756838905775
IT,Blood,P190910,B_c06-CD70,0.4559270516717325
IT,Blood,P190910,B_c07-FCRL5,0.1519756838905775
IT,Blood,P190910,plasmaB_c01-SDC1,0.303951367781155
IT,Blood,P190910,plasmaB_c02-CD52,4.103343465045593
IT,Blood,P190910,plasmaB_c03-MKI67,1.0638297872340425
IT,Liver,P190326,B_c01-IGHD,4.0
IT,Liver,P190326,B_c02-STX16,0.0
IT,Liver,P190326,B_c03-CD1C,4.0
IT,Liver,P190326,B_c04-COCH,8.0
IT,Liver,P190326,B_c05-TCL1A,0.0
IT,Liver,P190326,B_c06-CD70,16.0
IT,Liver,P190326,B_c07-FCRL5,16.0
IT,Liver,P190326,plasmaB_c01-SDC1,40.0
IT,Liver,P190326,plasmaB_c02-CD52,8.0
IT,Liver,P190326,plasmaB_c03-MKI67,4.0
IT,Liver,P190402,B_c01-IGHD,0.0
IT,Liver,P190402,B_c02-STX16,1.7482517482517483
IT,Liver,P190402,B_c03-CD1C,0.6993006993006993
IT,Liver,P190402,B_c04-COCH,6.293706293706294
IT,Liver,P190402,B_c05-TCL1A,22.02797202797203
IT,Liver,P190402,B_c06-CD70,15.384615384615385
IT,Liver,P190402,B_c07-FCRL5,37.76223776223776
IT,Liver,P190402,plasmaB_c01-SDC1,11.538461538461538
IT,Liver,P190402,plasmaB_c02-CD52,3.8461538461538463
IT,Liver,P190402,plasmaB_c03-MKI67,0.6993006993006993
IT,Liver,P190604,B_c01-IGHD,1.2987012987012987
IT,Liver,P190604,B_c02-STX16,0.6493506493506493
IT,Liver,P190604,B_c03-CD1C,1.2987012987012987
IT,Liver,P190604,B_c04-COCH,5.194805194805195
IT,Liver,P190604,B_c05-TCL1A,13.636363636363635
IT,Liver,P190604,B_c06-CD70,23.376623376623375
IT,Liver,P190604,B_c07-FCRL5,31.16883116883117
IT,Liver,P190604,plasmaB_c01-SDC1,14.935064935064934
IT,Liver,P190604,plasmaB_c02-CD52,8.441558441558442
IT,Liver,P190604,plasmaB_c03-MKI67,0.0
IT,Liver,P190808,B_c01-IGHD,0.46511627906976744
IT,Liver,P190808,B_c02-STX16,0.46511627906976744
IT,Liver,P190808,B_c03-CD1C,0.9302325581395349
IT,Liver,P190808,B_c04-COCH,12.093023255813954
IT,Liver,P190808,B_c05-TCL1A,17.209302325581397
IT,Liver,P190808,B_c06-CD70,10.232558139534884
IT,Liver,P190808,B_c07-FCRL5,37.67441860465116
IT,Liver,P190808,plasmaB_c01-SDC1,17.209302325581397
IT,Liver,P190808,plasmaB_c02-CD52,3.255813953488372
IT,Liver,P190808,plasmaB_c03-MKI67,0.46511627906976744
IT,Liver,P190910,B_c01-IGHD,1.8518518518518516
IT,Liver,P190910,B_c02-STX16,1.8518518518518516
IT,Liver,P190910,B_c03-CD1C,0.0
IT,Liver,P190910,B_c04-COCH,3.7037037037037033
IT,Liver,P190910,B_c05-TCL1A,11.11111111111111
IT,Liver,P190910,B_c06-CD70,11.11111111111111
IT,Liver,P190910,B_c07-FCRL5,18.51851851851852
IT,Liver,P190910,plasmaB_c01-SDC1,46.2962962962963
IT,Liver,P190910,plasmaB_c02-CD52,3.7037037037037033
IT,Liver,P190910,plasmaB_c03-MKI67,1.8518518518518516
NL,Blood,D528848,B_c01-IGHD,58.48546315077755
NL,Blood,D528848,B_c02-STX16,13.184584178498987
NL,Blood,D528848,B_c03-CD1C,8.045977011494253
NL,Blood,D528848,B_c04-COCH,10.953346855983773
NL,Blood,D528848,B_c05-TCL1A,2.5693035835023665
NL,Blood,D528848,B_c06-CD70,2.0960108181203516
NL,Blood,D528848,B_c07-FCRL5,2.5693035835023665
NL,Blood,D528848,plasmaB_c01-SDC1,0.0676132521974307
NL,Blood,D528848,plasmaB_c02-CD52,1.757944557133198
NL,Blood,D528848,plasmaB_c03-MKI67,0.2704530087897228
NL,Blood,D529074,B_c01-IGHD,39.66942148760331
NL,Blood,D529074,B_c02-STX16,9.090909090909092
NL,Blood,D529074,B_c03-CD1C,26.446280991735538
NL,Blood,D529074,B_c04-COCH,19.421487603305785
NL,Blood,D529074,B_c05-TCL1A,2.479338842975207
NL,Blood,D529074,B_c06-CD70,1.2396694214876034
NL,Blood,D529074,B_c07-FCRL5,0.8264462809917356
NL,Blood,D529074,plasmaB_c01-SDC1,0.0
NL,Blood,D529074,plasmaB_c02-CD52,0.0
NL,Blood,D529074,plasmaB_c03-MKI67,0.8264462809917356
NL,Blood,D529351,B_c01-IGHD,10.0
NL,Blood,D529351,B_c02-STX16,4.0
NL,Blood,D529351,B_c03-CD1C,47.333333333333336
NL,Blood,D529351,B_c04-COCH,22.666666666666664
NL,Blood,D529351,B_c05-TCL1A,0.6666666666666667
NL,Blood,D529351,B_c06-CD70,5.333333333333334
NL,Blood,D529351,B_c07-FCRL5,1.3333333333333335
NL,Blood,D529351,plasmaB_c01-SDC1,0.6666666666666667
NL,Blood,D529351,plasmaB_c02-CD52,4.666666666666667
NL,Blood,D529351,plasmaB_c03-MKI67,3.3333333333333335
NL,Blood,D529354,B_c01-IGHD,25.0
NL,Blood,D529354,B_c02-STX16,9.375
NL,Blood,D529354,B_c03-CD1C,12.5
NL,Blood,D529354,B_c04-COCH,25.0
NL,Blood,D529354,B_c05-TCL1A,3.125
NL,Blood,D529354,B_c06-CD70,3.125
NL,Blood,D529354,B_c07-FCRL5,0.0
NL,Blood,D529354,plasmaB_c01-SDC1,0.0
NL,Blood,D529354,plasmaB_c02-CD52,12.5
NL,Blood,D529354,plasmaB_c03-MKI67,9.375
NL,Blood,D529409,B_c01-IGHD,6.896551724137931
NL,Blood,D529409,B_c02-STX16,3.4482758620689653
NL,Blood,D529409,B_c03-CD1C,6.896551724137931
NL,Blood,D529409,B_c04-COCH,31.03448275862069
NL,Blood,D529409,B_c05-TCL1A,0.0
NL,Blood,D529409,B_c06-CD70,0.0
NL,Blood,D529409,B_c07-FCRL5,0.0
NL,Blood,D529409,plasmaB_c01-SDC1,10.344827586206897
NL,Blood,D529409,plasmaB_c02-CD52,20.689655172413794
