tissue,type,metric,pattern,NL_mean,IT_mean,IA_mean,NL_IT_p,IT_IA_p,NL_IA_p,NL_IT_cons,IT_IA_cons
Blood,BCR,pct_singleton,NS,2.9162988524195486,5.357515448198379,7.21651552844876,0.15079365079365079,0.5555555555555556,0.19047619047619047,20/25,13/20
Blood,BCR,pct_IgM,NS,44.64185733750951,68.01037536665211,60.55941840760074,0.2222222222222222,1.0,0.4126984126984127,19/25,10/20
Blood,BCR,pct_IgG,NS,16.794535577144273,17.277055061185287,26.26099084347891,0.6904761904761905,0.7301587301587302,0.4126984126984127,15/25,12/20
Blood,BCR,pct_IgA,NS,20.850913981348764,12.480148913488485,10.519941746989119,0.30952380952380953,0.19047619047619047,0.2857142857142857,18/25,16/20
Blood,BCR,pct_IgD,CHRONIC-PERSISTENT,17.712693103997452,2.232420658674121,2.6596490019312293,0.015873015873015872,0.2857142857142857,0.015873015873015872,24/25,15/20
Blood,BCR,pct_switched,NS,37.64544955849304,29.757203974673775,36.780932590468026,1.0,1.0,0.9047619047619049,13/25,10/20
Blood,BCR,pct_bcr,NS,6.768184062403786,11.675879242945772,11.321937346976455,0.15079365079365079,1.0,0.2857142857142857,20/25,10/20
Blood,BCR,top_clone,CHRONIC-PERSISTENT,1.0,3.0,20.75,0.005583616806378765,0.22491588401596185,0.010408346187801858,25/25,13/20
Blood,BCR,n_unique_clones,NS,12461.0,12461.0,12461.0,1.0,1.0,1.0,25/25,20/20
Blood,BCR,pct_IGHV3_23,NS,10.698642742121004,10.222183648436935,10.053878977527182,0.8412698412698413,0.9047619047619049,0.9047619047619049,11/25,11/20
Liver,TCR,clonality,NS,0.5501206006947329,0.4874294046397289,0.3653385927499044,0.13203463203463203,0.12554112554112554,0.004329004329004329,28/36,24/30
Liver,TCR,pct_singleton,NS,0.8062459379190628,1.5902789775485189,3.871461361897475,0.3939393939393939,0.12554112554112554,0.030303030303030304,24/36,24/30
Liver,TCR,pct_tcr,NS,18.805675613020494,35.59364120521005,47.555909039039705,0.06493506493506493,0.32900432900432897,0.05194805194805195,30/36,21/30
Liver,TCR,top_clone,NS,135.33333333333334,87.0,98.0,0.748348568843747,0.5830249115137662,0.9307359307359306,21/36,18/30
Liver,TCR,n_unique_clones,NS,40517.0,40517.0,40517.0,1.0,1.0,1.0,36/36,30/30
Blood,TCR,clonality,IT-SPECIFIC-RESOLVED,0.5852570872186251,0.35148280211033234,0.3023060587298373,0.031746031746031744,0.5555555555555556,0.06349206349206349,23/25,13/20
Blood,TCR,pct_singleton,NS,1.351531455932078,4.134560801638818,5.9690993903793474,0.15079365079365079,0.4126984126984127,0.031746031746031744,20/25,14/20
Blood,TCR,pct_tcr,NS,16.69240415176828,31.84014490465257,43.86321809294626,0.30952380952380953,0.19047619047619047,0.06349206349206349,18/25,16/20
Blood,TCR,top_clone,NS,115.4,56.8,80.75,0.5296192990034517,0.5555555555555556,0.5385943148264352,9/25,13/20
Blood,TCR,n_unique_clones,NS,40517.0,40517.0,40517.0,1.0,1.0,1.0,25/25,20/20
Liver,Subcluster,B_c01-IGHD,NS,0.4844270007406915,1.5231338859245835,7.695331670611066,0.1908412729609592,0.8325188126792755,0.6321424221485425,21/30,10/25
Liver,Subcluster,B_c02-STX16,NS,0.44719407479505396,0.9429141057048034,0.6975412429277476,0.2621926024067731,0.6723358083659552,0.7739376469563976,20/30,16/25
Liver,Subcluster,B_c03-CD1C,NS,0.22648665979930005,1.3856469112283065,5.30793931359649,0.10360419498787639,0.30952380952380953,0.019497342254316867,22/30,18/25
Liver,Subcluster,B_c04-COCH,CHRONIC-PERSISTENT,1.3123086534773882,7.057047689605829,10.723538480082812,0.013497246674934248,0.8412698412698413,0.022173545386486773,29/30,14/25
Liver,Subcluster,B_c05-TCL1A,NS,23.207863534846737,12.796949820205635,17.30479407366451,0.6623376623376623,0.30952380952380953,0.7922077922077921,18/30,18/25
Liver,Subcluster,B_c06-CD70,NS,17.2700881829037,15.220981602376952,23.84741671411806,0.7922077922077921,0.2222222222222222,0.32900432900432897,17/30,19/25
Liver,Subcluster,B_c07-FCRL5,NS,12.965207239136937,28.224801210847716,23.967782580530315,0.05194805194805195,1.0,0.17748917748917747,26/30,13/25
Liver,Subcluster,plasmaB_c01-SDC1,TRANSITION,32.4529214758493,25.995825019080836,4.978391197510533,0.9307359307359306,0.007936507936507936,0.17748917748917747,16/30,25/25
Liver,Subcluster,plasmaB_c02-CD52,NS,3.4410773106079975,5.449445988980872,4.583595162660572,0.32900432900432897,0.5476190476190477,0.5367965367965368,21/30,16/25
Liver,Subcluster,plasmaB_c03-MKI67,NS,8.192425867842891,1.4032537660444635,0.8936695642978936,0.08225108225108226,0.9165626446795413,0.08225108225108226,25/30,14/25
