pattern,tissue,gene,lineage,IT_pct,IT_p,IA_p,direction,consistency
chronic_persistent,Blood,MT-ND2,CD4_T,40.900001525878906,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,MT-ND2,NK,36.0,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,MT-ND2,PlasmaB,74.4000015258789,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,MTOR,Myeloid,520.5,0.011925,<0.05,↑,25/25
chronic_persistent,Blood,NKG7,Myeloid,-81.5,0.007937,<0.05,↓,25/25
chronic_persistent,Blood,NRF1,Myeloid,160.5,0.036145,<0.05,↑,23/25
chronic_persistent,Blood,PINK1,B,290.6000061035156,0.021177,<0.05,↑,24/25
chronic_persistent,Blood,PRDM1,CD4_T,-58.5,0.007937,<0.05,↓,25/25
chronic_persistent,Blood,RICTOR,B,63.400001525878906,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,RPTOR,PlasmaB,99999.0,0.02537,<0.05,↑,20/25
chronic_persistent,Blood,TCF7,NK,198.8999938964844,0.031746,<0.05,↑,23/25
chronic_persistent,Blood,TET2,Myeloid,150.10000610351562,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,TFAM,Myeloid,171.1999969482422,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,TFAM,CD4_T,90.5999984741211,0.015873,<0.05,↑,24/25
chronic_persistent,Blood,TGFB1,Myeloid,155.60000610351562,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,TGFB1,PlasmaB,197.8000030517578,0.015873,<0.05,↑,24/25
chronic_persistent,Blood,TGFBR2,PlasmaB,1706.5,0.009701,<0.05,↑,25/25
chronic_persistent,Blood,TYROBP,PlasmaB,910.7999877929688,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,VEGFB,NK,152.39999389648438,0.007937,<0.05,↑,25/25
chronic_persistent,Blood,ZEB1,Myeloid,99999.0,0.007495,<0.05,↑,25/25
