tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Blood,AIM2,PlasmaB,NL→IT,NL,IT,0.06262462,0.22419004,258.0,↑,0.057008,†,22/25,5,5,0.26901725862068965
Blood,AIM2,PlasmaB,NL→IA,NL,IA,0.06262462,0.2326929,271.6000061035156,↑,0.061689,†,18/20,5,4,0.4074245714285714
Blood,AIM2,PlasmaB,NL→AR,NL,AR,0.06262462,0.36602405,484.5,↑,0.032473,*,15/15,5,3,0.5066470487804878
Blood,AIM2,PlasmaB,NL→CR,NL,CR,0.06262462,0.1902222,203.6999969482422,↑,0.12663,NS,13/15,5,3,0.3872522093023255
Blood,AIM2,PlasmaB,IT→IA,IT,IA,0.22419004,0.2326929,3.799999952316284,↑,0.730159,NS,12/20,5,4,1.0
Blood,AIM2,PlasmaB,IA→AR,IA,AR,0.2326929,0.36602405,57.29999923706055,↑,0.228571,NS,10/12,4,3,1.0
Blood,AIM2,PlasmaB,CR→AR,CR,AR,0.1902222,0.36602405,92.4000015258789,↑,0.1,NS,9/9,3,3,0.3207317073170732
Blood,ANGPT2,Myeloid,NL→IT,NL,IT,0.0,0.0001626462,99999.0,↑,0.423711,NS,5/25,5,5,0.5744123350515464
Blood,ANGPT2,Myeloid,NL→IA,NL,IA,0.0,0.0005462555,99999.0,↑,0.13121,NS,10/20,5,4,0.3225068224299065
Blood,ANGPT2,Myeloid,NL→AR,NL,AR,0.0,0.00040951607,99999.0,↑,0.078983,†,10/15,5,3,0.2629434050632911
Blood,ANGPT2,Myeloid,NL→CR,NL,CR,0.0,0.0010740478,99999.0,↑,0.016805,*,15/15,5,3,0.1093896511627907
Blood,ANGPT2,Myeloid,IT→IA,IT,IA,0.0001626462,0.0005462555,235.8999938964844,↑,0.308369,NS,10/20,5,4,1.0
Blood,ANGPT2,Myeloid,IA→AR,IA,AR,0.0005462555,0.00040951607,-25.0,↓,0.854445,NS,6/12,4,3,1.0
Blood,ANGPT2,Myeloid,CR→AR,CR,AR,0.0010740478,0.00040951607,-61.900001525878906,↓,0.1,NS,9/9,3,3,0.5977272727272728
Blood,ANGPT2,CD4_T,NL→IT,NL,IT,0.000262135,0.002460879,838.7999877929688,↑,0.01775,*,24/25,5,5,0.38902083333333326
Blood,ANGPT2,CD4_T,NL→IA,NL,IA,0.000262135,0.00091600895,249.3999938964844,↑,0.139996,NS,14/20,5,4,0.6591472105263159
Blood,ANGPT2,CD4_T,NL→AR,NL,AR,0.000262135,0.0011203493,327.3999938964844,↑,0.305507,NS,9/15,5,3,0.7955281287128712
Blood,ANGPT2,CD4_T,NL→CR,NL,CR,0.000262135,0.0017055661,550.5999755859375,↑,0.112231,NS,13/15,5,3,0.5218248750000001
Blood,ANGPT2,CD4_T,IT→IA,IT,IA,0.002460879,0.00091600895,-62.79999923706055,↓,0.063492,†,18/20,5,4,1.0
Blood,ANGPT2,CD4_T,IA→AR,IA,AR,0.00091600895,0.0011203493,22.299999237060547,↑,1.0,NS,6/12,4,3,1.0
Blood,ANGPT2,CD4_T,CR→AR,CR,AR,0.0017055661,0.0011203493,-34.29999923706055,↓,0.4,NS,7/9,3,3,0.7356643356643358
Blood,ANGPT2,CD8_T,NL→IT,NL,IT,0.0005704771,0.00027444985,-51.900001525878906,↓,0.607236,NS,9/25,5,5,0.9557641473684211
Blood,ANGPT2,CD8_T,NL→IA,NL,IA,0.0005704771,0.0019177832,236.1999969482422,↑,0.608874,NS,11/20,5,4,0.9847785487179487
Blood,ANGPT2,CD8_T,NL→AR,NL,AR,0.0005704771,0.0008618543,51.09999847412109,↑,0.873807,NS,7/15,5,3,1.0
Blood,ANGPT2,CD8_T,NL→CR,NL,CR,0.0005704771,0.0011537949,102.3000030517578,↑,1.0,NS,5/15,5,3,1.0
Blood,ANGPT2,CD8_T,IT→IA,IT,IA,0.00027444985,0.0019177832,598.7999877929688,↑,0.227249,NS,13/20,5,4,0.960527203539823
Blood,ANGPT2,CD8_T,IA→AR,IA,AR,0.0019177832,0.0008618543,-55.09999847412109,↓,1.0,NS,6/12,4,3,1.0
Blood,ANGPT2,CD8_T,CR→AR,CR,AR,0.0011537949,0.0008618543,-25.299999237060547,↓,1.0,NS,3/9,3,3,1.0
Blood,ANGPT2,NK,NL→IT,NL,IT,0.0040802024,0.0013635419,-66.5999984741211,↓,0.397615,NS,7/25,5,5,0.7379867086092715
Blood,ANGPT2,NK,NL→IA,NL,IA,0.0040802024,0.0031217146,-23.5,↓,0.533389,NS,6/20,5,4,0.7649802513089006
Blood,ANGPT2,NK,NL→AR,NL,AR,0.0040802024,0.0017248039,-57.70000076293945,↓,0.230243,NS,3/15,5,3,0.5767543859649124
Blood,ANGPT2,NK,NL→CR,NL,CR,0.0040802024,0.0015038317,-63.09999847412109,↓,0.759982,NS,5/15,5,3,0.9392853727272727
Blood,ANGPT2,NK,IT→IA,IT,IA,0.0013635419,0.0031217146,128.89999389648438,↑,0.325163,NS,14/20,5,4,0.9521015263157895
Blood,ANGPT2,NK,IA→AR,IA,AR,0.0031217146,0.0017248039,-44.70000076293945,↓,0.628571,NS,8/12,4,3,1.0
Blood,ANGPT2,NK,CR→AR,CR,AR,0.0015038317,0.0017248039,14.699999809265137,↑,1.0,NS,5/9,3,3,1.0
Blood,ANGPT2,B,NL→IT,NL,IT,0.0,0.0027085668,99999.0,↑,0.072006,†,15/25,5,5,0.3265099655172414
Blood,ANGPT2,B,NL→IA,NL,IA,0.0,0.0015987663,99999.0,↑,0.04162,*,15/20,5,4,0.3719963478260869
Blood,ANGPT2,B,NL→AR,NL,AR,0.0,0.0,0.0,↑,1.0,NS,0/15,5,3,1.0
Blood,ANGPT2,B,NL→CR,NL,CR,0.0,0.0018725699,99999.0,↑,0.078983,†,10/15,5,3,0.37093801785714287
Blood,ANGPT2,B,IT→IA,IT,IA,0.0027085668,0.0015987663,-41.0,↓,0.533389,NS,12/20,5,4,1.0
Blood,ANGPT2,B,IA→AR,IA,AR,0.0015987663,0.0,-100.0,↓,0.11867,NS,9/12,4,3,1.0
Blood,ANGPT2,B,CR→AR,CR,AR,0.0018725699,0.0,-100.0,↓,0.196706,NS,6/9,3,3,0.5977272727272728
Blood,ANGPT2,PlasmaB,NL→IT,NL,IT,0.0,0.0,0.0,↑,1.0,NS,0/25,5,5,1.0
Blood,ANGPT2,PlasmaB,NL→IA,NL,IA,0.0,0.0011395856,99999.0,↑,0.371093,NS,5/20,5,4,0.6506497266666667
Blood,ANGPT2,PlasmaB,NL→AR,NL,AR,0.0,0.0014357162,99999.0,↑,0.3017,NS,5/15,5,3,0.6926581120689654
Blood,ANGPT2,PlasmaB,NL→CR,NL,CR,0.0,0.0,0.0,↑,1.0,NS,0/15,5,3,1.0
Blood,ANGPT2,PlasmaB,IT→IA,IT,IA,0.0,0.0011395856,99999.0,↑,0.371093,NS,5/20,5,4,1.0
Blood,ANGPT2,PlasmaB,IA→AR,IA,AR,0.0011395856,0.0014357162,26.0,↑,1.0,NS,3/12,4,3,1.0
Blood,ANGPT2,PlasmaB,CR→AR,CR,AR,0.0,0.0014357162,99999.0,↑,0.504985,NS,3/9,3,3,0.8025540060240964
Blood,ATM,Myeloid,NL→IT,NL,IT,0.21587276,0.42699647,97.8000030517578,↑,0.055556,†,22/25,5,5,0.16603668181818185
Blood,ATM,Myeloid,NL→IA,NL,IA,0.21587276,0.39364016,82.30000305175781,↑,0.285714,NS,15/20,5,4,0.4667253540372671
Blood,ATM,Myeloid,NL→AR,NL,AR,0.21587276,0.46544757,115.5999984741211,↑,0.071429,†,14/15,5,3,0.2629434050632911
Blood,ATM,Myeloid,NL→CR,NL,CR,0.21587276,0.38927245,80.30000305175781,↑,0.25,NS,12/15,5,3,0.39848484848484844
Blood,ATM,Myeloid,IT→IA,IT,IA,0.42699647,0.39364016,-7.800000190734863,↓,0.904762,NS,11/20,5,4,1.0
Blood,ATM,Myeloid,IA→AR,IA,AR,0.39364016,0.46544757,18.200000762939453,↑,0.4,NS,9/12,4,3,1.0
Blood,ATM,Myeloid,CR→AR,CR,AR,0.38927245,0.46544757,19.600000381469727,↑,0.1,NS,9/9,3,3,0.5977272727272728
Blood,ATM,CD4_T,NL→IT,NL,IT,0.4964468,0.78244716,57.59999847412109,↑,0.007937,**,25/25,5,5,0.260928875
Blood,ATM,CD4_T,NL→IA,NL,IA,0.4964468,0.6953696,40.09999847412109,↑,0.285714,NS,15/20,5,4,0.7514278200000001
Blood,ATM,CD4_T,NL→AR,NL,AR,0.4964468,0.7708594,55.29999923706055,↑,0.035714,*,15/15,5,3,0.42694463636363644
Blood,ATM,CD4_T,NL→CR,NL,CR,0.4964468,0.8178036,64.69999694824219,↑,0.035714,*,15/15,5,3,0.21347231818181822
Blood,ATM,CD4_T,IT→IA,IT,IA,0.78244716,0.6953696,-11.100000381469728,↓,0.904762,NS,9/20,5,4,1.0
Blood,ATM,CD4_T,IA→AR,IA,AR,0.6953696,0.7708594,10.899999618530272,↑,1.0,NS,6/12,4,3,1.0
Blood,ATM,CD4_T,CR→AR,CR,AR,0.8178036,0.7708594,-5.699999809265137,↓,0.4,NS,7/9,3,3,0.7356643356643358
Blood,ATM,CD8_T,NL→IT,NL,IT,0.51311785,0.92769843,80.80000305175781,↑,0.007937,**,25/25,5,5,0.2981856428571429
Blood,ATM,CD8_T,NL→IA,NL,IA,0.51311785,0.788566,53.70000076293945,↑,0.285714,NS,15/20,5,4,0.790976652631579
Blood,ATM,CD8_T,NL→AR,NL,AR,0.51311785,0.8590179,67.4000015258789,↑,0.035714,*,15/15,5,3,0.495132105263158
Blood,ATM,CD8_T,NL→CR,NL,CR,0.51311785,0.9645584,88.0,↑,0.035714,*,15/15,5,3,0.247566052631579
Blood,ATM,CD8_T,IT→IA,IT,IA,0.92769843,0.788566,-15.0,↓,1.0,NS,10/20,5,4,1.0
Blood,ATM,CD8_T,IA→AR,IA,AR,0.788566,0.8590179,8.899999618530273,↑,1.0,NS,6/12,4,3,1.0
Blood,ATM,CD8_T,CR→AR,CR,AR,0.9645584,0.8590179,-10.899999618530272,↓,0.7,NS,6/9,3,3,0.9113861386138613
Blood,ATM,NK,NL→IT,NL,IT,0.46185082,0.8113922,75.69999694824219,↑,0.007937,**,25/25,5,5,0.2982044285714286
Blood,ATM,NK,NL→IA,NL,IA,0.46185082,0.73270726,58.59999847412109,↑,0.285714,NS,15/20,5,4,0.5367341571428572
Blood,ATM,NK,NL→AR,NL,AR,0.46185082,0.7818257,69.30000305175781,↑,0.035714,*,15/15,5,3,0.2613197222222222
Blood,ATM,NK,NL→CR,NL,CR,0.46185082,0.8461137,83.19999694824219,↑,0.035714,*,15/15,5,3,0.20451108695652176
Blood,ATM,NK,IT→IA,IT,IA,0.8113922,0.73270726,-9.699999809265137,↓,1.0,NS,10/20,5,4,1.0
Blood,ATM,NK,IA→AR,IA,AR,0.73270726,0.7818257,6.699999809265137,↑,0.857143,NS,5/12,4,3,1.0
Blood,ATM,NK,CR→AR,CR,AR,0.8461137,0.7818257,-7.599999904632568,↓,0.7,NS,3/9,3,3,0.9113861386138613
Blood,ATM,B,NL→IT,NL,IT,0.5179061,0.61409664,18.600000381469727,↑,0.222222,NS,19/25,5,5,0.5313126
Blood,ATM,B,NL→IA,NL,IA,0.5179061,0.51940846,0.3000000119209289,↑,0.904762,NS,9/20,5,4,1.0
Blood,ATM,B,NL→AR,NL,AR,0.5179061,0.5889255,13.699999809265137,↑,0.392857,NS,11/15,5,3,0.6665896193548387
Blood,ATM,B,NL→CR,NL,CR,0.5179061,0.5985321,15.600000381469728,↑,0.392857,NS,11/15,5,3,0.7653436370370371
Blood,ATM,B,IT→IA,IT,IA,0.61409664,0.51940846,-15.399999618530272,↓,0.730159,NS,12/20,5,4,1.0
Blood,ATM,B,IA→AR,IA,AR,0.51940846,0.5889255,13.399999618530272,↑,1.0,NS,6/12,4,3,1.0
Blood,ATM,B,CR→AR,CR,AR,0.5985321,0.5889255,-1.600000023841858,↓,1.0,NS,5/9,3,3,1.0
Blood,ATM,PlasmaB,NL→IT,NL,IT,0.20502849,0.2825406,37.79999923706055,↑,0.222222,NS,19/25,5,5,0.5082120521739131
Blood,ATM,PlasmaB,NL→IA,NL,IA,0.20502849,0.35540783,73.30000305175781,↑,0.285714,NS,15/20,5,4,0.6059901774193549
Blood,ATM,PlasmaB,NL→AR,NL,AR,0.20502849,0.18930054,-7.699999809265137,↓,0.392857,NS,4/15,5,3,0.7433193597122303
Blood,ATM,PlasmaB,NL→CR,NL,CR,0.20502849,0.3559051,73.5999984741211,↑,0.25,NS,12/15,5,3,0.4764492753623188
Blood,ATM,PlasmaB,IT→IA,IT,IA,0.2825406,0.35540783,25.799999237060547,↑,0.555556,NS,13/20,5,4,1.0
