tissue,lineage,pathway,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Liver,CD8_T,antigen_presentation,NL→CR,NL,CR,0.305388,0.431791,41.4,↑,0.166667,NS,15/18,6,3,0.4027785833333334
Liver,CD8_T,antigen_presentation,IT→IA,IT,IA,0.392296,0.414049,5.5,↑,0.428571,NS,20/30,6,5,0.8648396111111111
Liver,CD8_T,antigen_presentation,IA→AR,IA,AR,0.414049,0.458342,10.7,↑,0.785714,NS,9/15,5,3,0.9494044166666668
Liver,CD8_T,antigen_presentation,CR→AR,CR,AR,0.431791,0.458342,6.1,↑,1.0,NS,5/9,3,3,1.0
Liver,NK,antigen_presentation,NL→IT,NL,IT,0.320976,0.340365,6.0,↑,0.792208,NS,17/30,6,5,0.8508900740740741
Liver,NK,antigen_presentation,NL→IA,NL,IA,0.320976,0.335719,4.6,↑,0.930736,NS,16/30,6,5,0.9996794074074075
Liver,NK,antigen_presentation,NL→AR,NL,AR,0.320976,0.339533,5.8,↑,0.714286,NS,11/18,6,3,1.0
Liver,NK,antigen_presentation,NL→CR,NL,CR,0.320976,0.341077,6.3,↑,0.904762,NS,10/18,6,3,0.9370749285714285
Liver,NK,antigen_presentation,IT→IA,IT,IA,0.340365,0.335719,-1.4,↓,1.0,NS,13/25,5,5,1.0
Liver,NK,antigen_presentation,IA→AR,IA,AR,0.335719,0.339533,1.1,↑,1.0,NS,8/15,5,3,1.0
Liver,NK,antigen_presentation,CR→AR,CR,AR,0.341077,0.339533,-0.5,↓,1.0,NS,4/9,3,3,1.0
Liver,B,antigen_presentation,NL→IT,NL,IT,0.711002,0.773795,8.8,↑,0.004329,**,30/30,6,5,0.125541
Liver,B,antigen_presentation,NL→IA,NL,IA,0.711002,0.747233,5.1,↑,0.329004,NS,21/30,6,5,0.8673741818181819
Liver,B,antigen_presentation,NL→AR,NL,AR,0.711002,0.758378,6.7,↑,0.380952,NS,13/18,6,3,1.0
Liver,B,antigen_presentation,NL→CR,NL,CR,0.711002,0.763961,7.4,↑,0.261905,NS,14/18,6,3,0.7365072
Liver,B,antigen_presentation,IT→IA,IT,IA,0.773795,0.747233,-3.4,↓,0.015873,*,24/25,5,5,0.4373026
Liver,B,antigen_presentation,IA→AR,IA,AR,0.747233,0.758378,1.5,↑,0.785714,NS,9/15,5,3,0.9906828695652173
Liver,B,antigen_presentation,CR→AR,CR,AR,0.763961,0.758378,-0.7,↓,0.7,NS,6/9,3,3,1.0
Liver,PlasmaB,antigen_presentation,NL→IT,NL,IT,0.311395,0.560538,80.0,↑,0.017316,*,28/30,6,5,0.251082
Liver,PlasmaB,antigen_presentation,NL→IA,NL,IA,0.311395,0.635745,104.2,↑,0.004329,**,30/30,6,5,0.125541
Liver,PlasmaB,antigen_presentation,NL→AR,NL,AR,0.311395,0.764929,145.6,↑,0.071429,†,12/12,6,2,0.51786025
Liver,PlasmaB,antigen_presentation,NL→CR,NL,CR,0.311395,0.523526,68.1,↑,0.02381,*,18/18,6,3,0.399214
Liver,PlasmaB,antigen_presentation,IT→IA,IT,IA,0.560538,0.635745,13.4,↑,0.690476,NS,15/25,5,5,1.0
Liver,PlasmaB,antigen_presentation,IA→AR,IA,AR,0.635745,0.764929,20.3,↑,0.380952,NS,8/10,5,2,0.849816
Liver,PlasmaB,antigen_presentation,CR→AR,CR,AR,0.523526,0.764929,46.1,↑,0.2,NS,6/6,3,2,1.0
Liver,Myeloid,apoptosis,NL→IT,NL,IT,0.06701,0.05222,-22.1,↓,0.246753,NS,22/30,6,5,0.4770558
Liver,Myeloid,apoptosis,NL→IA,NL,IA,0.06701,0.063277,-5.6,↓,0.662338,NS,18/30,6,5,0.914657238095238
