tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Liver,AIM2,NK,IT→IA,IT,IA,0.013200599,0.018768612,42.20000076293945,↑,0.360216,NS,20/30,6,5,1.0
Liver,AIM2,NK,IA→AR,IA,AR,0.018768612,0.025807342,37.5,↑,0.571429,NS,10/15,5,3,1.0
Liver,AIM2,NK,CR→AR,CR,AR,0.012559771,0.025807342,105.5,↑,0.2,NS,8/9,3,3,0.9773584905660376
Liver,AIM2,B,NL→IT,NL,IT,0.10902139,0.23410979,114.6999969482422,↑,0.051948,†,26/30,6,5,0.8092788
Liver,AIM2,B,NL→IA,NL,IA,0.10902139,0.31788746,191.6000061035156,↑,0.008658,**,29/30,6,5,0.4495993333333333
Liver,AIM2,B,NL→AR,NL,AR,0.10902139,0.38329935,251.6000061035156,↑,0.02381,*,18/18,6,3,0.7047612
Liver,AIM2,B,NL→CR,NL,CR,0.10902139,0.23701604,117.4000015258789,↑,0.047619,*,17/18,6,3,0.8075404166666666
Liver,AIM2,B,IT→IA,IT,IA,0.23410979,0.31788746,35.79999923706055,↑,0.222222,NS,19/25,5,5,1.0
Liver,AIM2,B,IA→AR,IA,AR,0.31788746,0.38329935,20.600000381469727,↑,1.0,NS,8/15,5,3,1.0
Liver,AIM2,B,CR→AR,CR,AR,0.23701604,0.38329935,61.70000076293945,↑,0.2,NS,8/9,3,3,0.9548387096774195
Liver,AIM2,PlasmaB,NL→IT,NL,IT,0.09252978,0.069971204,-24.39999961853028,↓,0.782252,NS,12/30,6,5,0.9770565333333333
Liver,AIM2,PlasmaB,NL→IA,NL,IA,0.09252978,0.11112865,20.100000381469727,↑,0.518992,NS,18/30,6,5,0.9086660235294118
Liver,AIM2,PlasmaB,NL→AR,NL,AR,0.09252978,0.17179589,85.69999694824219,↑,0.516853,NS,12/18,6,3,1.0
Liver,AIM2,PlasmaB,NL→CR,NL,CR,0.09252978,0.051306784,-44.59999847412109,↓,0.896851,NS,8/18,6,3,1.0
Liver,AIM2,PlasmaB,IT→IA,IT,IA,0.069971204,0.11112865,58.79999923706055,↑,0.463344,NS,16/25,5,5,1.0
Liver,AIM2,PlasmaB,IA→AR,IA,AR,0.11112865,0.17179589,54.59999847412109,↑,1.0,NS,8/15,5,3,1.0
Liver,AIM2,PlasmaB,CR→AR,CR,AR,0.051306784,0.17179589,234.8000030517578,↑,0.7,NS,6/9,3,3,1.0
Liver,ANGPT2,Myeloid,NL→IT,NL,IT,0.0047109663,0.0,-100.0,↓,0.404657,NS,6/36,6,6,0.6883820229885057
Liver,ANGPT2,Myeloid,NL→IA,NL,IA,0.0047109663,0.0,-100.0,↓,0.465209,NS,5/30,6,5,0.9431634520547945
Liver,ANGPT2,Myeloid,NL→AR,NL,AR,0.0047109663,0.0,-100.0,↓,0.637352,NS,3/18,6,3,1.0
Liver,ANGPT2,Myeloid,NL→CR,NL,CR,0.0047109663,0.0029094527,-38.20000076293945,↓,0.859684,NS,3/18,6,3,1.0
Liver,ANGPT2,Myeloid,IT→IA,IT,IA,0.0,0.0,0.0,↑,1.0,NS,0/30,6,5,1.0
Liver,ANGPT2,Myeloid,IA→AR,IA,AR,0.0,0.0,0.0,↑,1.0,NS,0/15,5,3,1.0
Liver,ANGPT2,Myeloid,CR→AR,CR,AR,0.0029094527,0.0,-100.0,↓,0.504985,NS,3/9,3,3,1.0
Liver,ANGPT2,CD4_T,NL→IT,NL,IT,0.0007607651,0.0018427866,142.1999969482422,↑,0.347164,NS,20/36,6,6,0.787878
Liver,ANGPT2,CD4_T,NL→IA,NL,IA,0.0007607651,0.0014169889,86.30000305175781,↑,0.485903,NS,15/30,6,5,0.8265936091954023
Liver,ANGPT2,CD4_T,NL→AR,NL,AR,0.0007607651,0.00023899834,-68.5999984741211,↓,0.878088,NS,6/18,6,3,1.0
Liver,ANGPT2,CD4_T,NL→CR,NL,CR,0.0007607651,0.0,-100.0,↓,0.376759,NS,6/18,6,3,0.854256
Liver,ANGPT2,CD4_T,IT→IA,IT,IA,0.0018427866,0.0014169889,-23.100000381469727,↓,0.779243,NS,15/30,6,5,1.0
Liver,ANGPT2,CD4_T,IA→AR,IA,AR,0.0014169889,0.00023899834,-83.0999984741211,↓,0.340617,NS,9/15,5,3,1.0
Liver,ANGPT2,CD4_T,CR→AR,CR,AR,0.0,0.00023899834,99999.0,↑,0.504985,NS,3/9,3,3,1.0
Liver,ANGPT2,CD8_T,NL→IT,NL,IT,0.0002919022,0.0007365953,152.3000030517578,↑,0.775029,NS,12/36,6,6,0.968727488
Liver,ANGPT2,CD8_T,NL→IA,NL,IA,0.0002919022,0.0014668815,402.5,↑,0.19562,NS,18/30,6,5,0.6047370612244898
Liver,ANGPT2,CD8_T,NL→AR,NL,AR,0.0002919022,0.0016004132,448.2999877929688,↑,0.203092,NS,12/18,6,3,0.6134207346938775
Liver,ANGPT2,CD8_T,NL→CR,NL,CR,0.0002919022,0.00067115854,129.89999389648438,↑,0.878088,NS,6/18,6,3,1.0
Liver,ANGPT2,CD8_T,IT→IA,IT,IA,0.0007365953,0.0014668815,99.0999984741211,↑,0.370287,NS,16/30,6,5,0.9705546930693069
