tissue,lineage,pathway,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Blood,NK,antigen_presentation,IA→AR,IA,AR,0.355974,0.363462,2.1,↑,0.628571,NS,8/12,4,3
Blood,NK,antigen_presentation,CR→AR,CR,AR,0.376945,0.363462,-3.6,↓,1.0,NS,5/9,3,3
Blood,B,antigen_presentation,NL→IT,NL,IT,0.720531,0.763067,5.9,↑,0.150794,NS,20/25,5,5
Blood,B,antigen_presentation,NL→IA,NL,IA,0.720531,0.766487,6.4,↑,0.190476,NS,16/20,5,4
Blood,B,antigen_presentation,NL→AR,NL,AR,0.720531,0.785036,9.0,↑,0.142857,NS,13/15,5,3
Blood,B,antigen_presentation,NL→CR,NL,CR,0.720531,0.756635,5.0,↑,0.25,NS,12/15,5,3
Blood,B,antigen_presentation,IT→IA,IT,IA,0.763067,0.766487,0.4,↑,0.730159,NS,12/20,5,4
Blood,B,antigen_presentation,IA→AR,IA,AR,0.766487,0.785036,2.4,↑,0.114286,NS,11/12,4,3
Blood,B,antigen_presentation,CR→AR,CR,AR,0.756635,0.785036,3.8,↑,0.1,NS,9/9,3,3
Blood,PlasmaB,antigen_presentation,NL→IT,NL,IT,0.377245,0.606947,60.9,↑,0.031746,*,23/25,5,5
Blood,PlasmaB,antigen_presentation,NL→IA,NL,IA,0.377245,0.564145,49.5,↑,0.063492,†,18/20,5,4
Blood,PlasmaB,antigen_presentation,NL→AR,NL,AR,0.377245,0.428089,13.5,↑,0.785714,NS,9/15,5,3
Blood,PlasmaB,antigen_presentation,NL→CR,NL,CR,0.377245,0.583942,54.8,↑,0.035714,*,15/15,5,3
Blood,PlasmaB,antigen_presentation,IT→IA,IT,IA,0.606947,0.564145,-7.1,↓,0.285714,NS,15/20,5,4
Blood,PlasmaB,antigen_presentation,IA→AR,IA,AR,0.564145,0.428089,-24.1,↓,0.114286,NS,11/12,4,3
Blood,PlasmaB,antigen_presentation,CR→AR,CR,AR,0.583942,0.428089,-26.7,↓,0.1,NS,9/9,3,3
Blood,Myeloid,apoptosis,NL→IT,NL,IT,0.058721,0.06086,3.6,↑,0.904762,NS,11/20,4,5
Blood,Myeloid,apoptosis,NL→IA,NL,IA,0.058721,0.059429,1.2,↑,1.0,NS,8/16,4,4
Blood,Myeloid,apoptosis,NL→AR,NL,AR,0.058721,0.062474,6.4,↑,0.628571,NS,8/12,4,3
Blood,Myeloid,apoptosis,NL→CR,NL,CR,0.058721,0.081024,38.0,↑,0.114286,NS,11/12,4,3
Blood,Myeloid,apoptosis,IT→IA,IT,IA,0.06086,0.059429,-2.4,↓,1.0,NS,10/20,5,4
Blood,Myeloid,apoptosis,IA→AR,IA,AR,0.059429,0.062474,5.1,↑,1.0,NS,6/12,4,3
Blood,Myeloid,apoptosis,CR→AR,CR,AR,0.081024,0.062474,-22.9,↓,0.4,NS,7/9,3,3
Blood,CD4_T,apoptosis,NL→IT,NL,IT,0.096155,0.08356,-13.1,↓,0.547619,NS,16/25,5,5
Blood,CD4_T,apoptosis,NL→IA,NL,IA,0.096155,0.095618,-0.6,↓,0.555556,NS,7/20,5,4
Blood,CD4_T,apoptosis,NL→AR,NL,AR,0.096155,0.083445,-13.2,↓,0.392857,NS,11/15,5,3
Blood,CD4_T,apoptosis,NL→CR,NL,CR,0.096155,0.112348,16.8,↑,0.25,NS,12/15,5,3
Blood,CD4_T,apoptosis,IT→IA,IT,IA,0.08356,0.095618,14.4,↑,0.111111,NS,17/20,5,4
Blood,CD4_T,apoptosis,IA→AR,IA,AR,0.095618,0.083445,-12.7,↓,0.228571,NS,10/12,4,3
Blood,CD4_T,apoptosis,CR→AR,CR,AR,0.112348,0.083445,-25.7,↓,0.1,NS,9/9,3,3
Blood,CD8_T,apoptosis,NL→IT,NL,IT,0.106574,0.085822,-19.5,↓,0.222222,NS,19/25,5,5
Blood,CD8_T,apoptosis,NL→IA,NL,IA,0.106574,0.093668,-12.1,↓,0.555556,NS,13/20,5,4
Blood,CD8_T,apoptosis,NL→AR,NL,AR,0.106574,0.089999,-15.6,↓,0.392857,NS,11/15,5,3
Blood,CD8_T,apoptosis,NL→CR,NL,CR,0.106574,0.117797,10.5,↑,0.25,NS,12/15,5,3
Blood,CD8_T,apoptosis,IT→IA,IT,IA,0.085822,0.093668,9.1,↑,0.555556,NS,13/20,5,4
Blood,CD8_T,apoptosis,IA→AR,IA,AR,0.093668,0.089999,-3.9,↓,0.857143,NS,7/12,4,3
