tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Blood,TCF7,B,CR→AR,CR,AR,0.048635107,0.079316474,63.09999847412109,↑,0.1,NS,9/9,3,3
Blood,TCF7,PlasmaB,NL→IT,NL,IT,0.012103792,0.030212168,149.60000610351562,↑,0.346522,NS,13/25,5,5
Blood,TCF7,PlasmaB,NL→IA,NL,IA,0.012103792,0.042729292,253.0,↑,0.227249,NS,13/20,5,4
Blood,TCF7,PlasmaB,NL→AR,NL,AR,0.012103792,0.044026602,263.70001220703125,↑,0.305507,NS,9/15,5,3
Blood,TCF7,PlasmaB,NL→CR,NL,CR,0.012103792,0.06805791,462.2999877929688,↑,0.056664,†,14/15,5,3
Blood,TCF7,PlasmaB,IT→IA,IT,IA,0.030212168,0.042729292,41.400001525878906,↑,0.708624,NS,11/20,5,4
Blood,TCF7,PlasmaB,IA→AR,IA,AR,0.042729292,0.044026602,3.0,↑,1.0,NS,6/12,4,3
Blood,TCF7,PlasmaB,CR→AR,CR,AR,0.06805791,0.044026602,-35.29999923706055,↓,0.4,NS,7/9,3,3
Blood,TET2,Myeloid,NL→IT,NL,IT,0.16682844,0.41719165,150.10000610351562,↑,0.007937,**,25/25,5,5
Blood,TET2,Myeloid,NL→IA,NL,IA,0.16682844,0.4002991,139.89999389648438,↑,0.015873,*,20/20,5,4
Blood,TET2,Myeloid,NL→AR,NL,AR,0.16682844,0.40269193,141.39999389648438,↑,0.035714,*,15/15,5,3
Blood,TET2,Myeloid,NL→CR,NL,CR,0.16682844,0.39688095,137.89999389648438,↑,0.035714,*,15/15,5,3
Blood,TET2,Myeloid,IT→IA,IT,IA,0.41719165,0.4002991,-4.0,↓,0.555556,NS,13/20,5,4
Blood,TET2,Myeloid,IA→AR,IA,AR,0.4002991,0.40269193,0.6000000238418579,↑,1.0,NS,6/12,4,3
Blood,TET2,Myeloid,CR→AR,CR,AR,0.39688095,0.40269193,1.5,↑,1.0,NS,4/9,3,3
Blood,TET2,CD4_T,NL→IT,NL,IT,0.043313645,0.045363303,4.699999809265137,↑,0.84127,NS,14/25,5,5
Blood,TET2,CD4_T,NL→IA,NL,IA,0.043313645,0.04710845,8.800000190734863,↑,0.730159,NS,12/20,5,4
Blood,TET2,CD4_T,NL→AR,NL,AR,0.043313645,0.045102213,4.099999904632568,↑,0.785714,NS,9/15,5,3
Blood,TET2,CD4_T,NL→CR,NL,CR,0.043313645,0.07039336,62.5,↑,0.392857,NS,11/15,5,3
Blood,TET2,CD4_T,IT→IA,IT,IA,0.045363303,0.04710845,3.799999952316284,↑,1.0,NS,10/20,5,4
Blood,TET2,CD4_T,IA→AR,IA,AR,0.04710845,0.045102213,-4.300000190734863,↓,1.0,NS,6/12,4,3
Blood,TET2,CD4_T,CR→AR,CR,AR,0.07039336,0.045102213,-35.900001525878906,↓,0.1,NS,9/9,3,3
Blood,TET2,CD8_T,NL→IT,NL,IT,0.06886757,0.056828104,-17.5,↓,0.420635,NS,8/25,5,5
Blood,TET2,CD8_T,NL→IA,NL,IA,0.06886757,0.07221185,4.900000095367432,↑,0.190476,NS,16/20,5,4
Blood,TET2,CD8_T,NL→AR,NL,AR,0.06886757,0.059859302,-13.100000381469728,↓,0.785714,NS,6/15,5,3
Blood,TET2,CD8_T,NL→CR,NL,CR,0.06886757,0.08108543,17.700000762939453,↑,0.25,NS,12/15,5,3
Blood,TET2,CD8_T,IT→IA,IT,IA,0.056828104,0.07221185,27.100000381469727,↑,0.111111,NS,17/20,5,4
Blood,TET2,CD8_T,IA→AR,IA,AR,0.07221185,0.059859302,-17.100000381469727,↓,0.4,NS,9/12,4,3
Blood,TET2,CD8_T,CR→AR,CR,AR,0.08108543,0.059859302,-26.200000762939453,↓,0.7,NS,6/9,3,3
Blood,TET2,NK,NL→IT,NL,IT,0.05371905,0.09241758,72.0,↑,0.031746,*,23/25,5,5
Blood,TET2,NK,NL→IA,NL,IA,0.05371905,0.09311956,73.30000305175781,↑,0.111111,NS,17/20,5,4
Blood,TET2,NK,NL→AR,NL,AR,0.05371905,0.07399172,37.70000076293945,↑,0.142857,NS,13/15,5,3
Blood,TET2,NK,NL→CR,NL,CR,0.05371905,0.09270672,72.5999984741211,↑,0.142857,NS,13/15,5,3
Blood,TET2,NK,IT→IA,IT,IA,0.09241758,0.09311956,0.800000011920929,↑,0.904762,NS,9/20,5,4
Blood,TET2,NK,IA→AR,IA,AR,0.09311956,0.07399172,-20.5,↓,0.4,NS,9/12,4,3
Blood,TET2,NK,CR→AR,CR,AR,0.09270672,0.07399172,-20.200000762939453,↓,0.4,NS,7/9,3,3
Blood,TET2,B,NL→IT,NL,IT,0.07926677,0.09296932,17.299999237060547,↑,0.690476,NS,15/25,5,5
Blood,TET2,B,NL→IA,NL,IA,0.07926677,0.08169242,3.0999999046325684,↑,0.730159,NS,12/20,5,4
Blood,TET2,B,NL→AR,NL,AR,0.07926677,0.109202266,37.79999923706055,↑,0.785714,NS,9/15,5,3
Blood,TET2,B,NL→CR,NL,CR,0.07926677,0.11331001,42.900001525878906,↑,0.571429,NS,10/15,5,3
Blood,TET2,B,IT→IA,IT,IA,0.09296932,0.08169242,-12.100000381469728,↓,0.412698,NS,14/20,5,4
Blood,TET2,B,IA→AR,IA,AR,0.08169242,0.109202266,33.70000076293945,↑,0.628571,NS,8/12,4,3
Blood,TET2,B,CR→AR,CR,AR,0.11331001,0.109202266,-3.5999999046325684,↓,1.0,NS,4/9,3,3
Blood,TET2,PlasmaB,NL→IT,NL,IT,0.0677921,0.1669185,146.1999969482422,↑,0.138792,NS,20/25,5,5
Blood,TET2,PlasmaB,NL→IA,NL,IA,0.0677921,0.14250873,110.1999969482422,↑,0.262239,NS,15/20,5,4
Blood,TET2,PlasmaB,NL→AR,NL,AR,0.0677921,0.06563747,-3.200000047683716,↓,0.759982,NS,6/15,5,3
Blood,TET2,PlasmaB,NL→CR,NL,CR,0.0677921,0.18814588,177.5,↑,0.2217,NS,12/15,5,3
