Gene,Lineage,Tissue,NL->IT_change,NL->IT_p,NL->IT_sig,NL->IT_cons,NL->IA_change,NL->IA_p,NL->IA_sig,NL->IA_cons,NL->AR_change,NL->AR_p,NL->AR_sig,NL->AR_cons,IA->AR_change,IA->AR_p,IA->AR_sig,IA->AR_cons,IT->IA_change,IT->IA_p,IT->IA_sig,IT->IA_cons
GZMK,CD8_T,Liver,+28.7%,0.0649,(t),30/36,-0.5%,1.0,,15/30,+35.0%,0.0238,*,18/18,+35.7%,0.0357,*,15/15,-22.7%,0.0303,*,27/30
GZMK,NK,Liver,+8.4%,0.8182,,20/36,+16.0%,0.4286,,20/30,+48.9%,0.0238,*,18/18,+28.4%,0.3929,,11/15,+7.0%,1.0,,15/30
GZMK,NK,Blood,+55.5%,0.8413,,14/25,+306.4%,0.0159,*,20/20,+61.0%,0.1429,,13/15,-60.4%,0.4,,9/12,+161.3%,0.1111,,17/20
DNMT3A,Myeloid,Blood,+348.3%,0.0119,*,25/25,+306.2%,0.0195,*,20/20,+309.0%,0.0358,*,15/15,+0.7%,0.8571,,5/12,-9.4%,0.9048,,11/20
DNMT3A,CD4_T,Blood,+133.2%,0.0079,*,25/25,+116.4%,0.1905,,16/20,+147.1%,0.0357,*,15/15,+14.2%,0.6286,,8/12,-7.2%,0.9048,,11/20
DNMT3A,CD8_T,Blood,+90.3%,0.0159,*,24/25,+89.4%,0.0635,(t),18/20,+70.0%,0.0714,(t),14/15,-10.2%,0.8571,,5/12,-0.5%,0.9048,,11/20
DNMT3A,NK,Blood,+48.3%,0.3095,,18/25,+113.8%,0.0317,*,19/20,+70.8%,0.1429,,13/15,-20.1%,0.6286,,8/12,+44.1%,0.1111,,17/20
DNMT3A,B,Blood,+204.3%,0.0593,(t),22/25,+160.1%,0.0651,(t),18/20,+204.1%,0.0358,*,15/15,+16.9%,0.8571,,7/12,-14.5%,0.5556,,13/20
DNMT3A,PlasmaB,Liver,+748.7%,0.0116,*,29/30,+317.1%,0.1036,,22/30,+948.3%,0.0431,*,17/18,+151.4%,0.25,,12/15,-50.9%,0.2222,,19/25
TET2,Myeloid,Blood,+150.1%,0.0079,*,25/25,+139.9%,0.0159,*,20/20,+141.4%,0.0357,*,15/15,+0.6%,1.0,,6/12,-4.0%,0.5556,,13/20
TET2,NK,Blood,+72.0%,0.0317,*,23/25,+73.3%,0.1111,,17/20,+37.7%,0.1429,,13/15,-20.5%,0.4,,9/12,+0.8%,0.9048,,9/20
TET2,B,Liver,+421.8%,0.008,*,30/30,+209.0%,0.0353,*,27/30,+128.1%,0.1539,,15/18,-26.2%,0.3929,,11/15,-40.8%,0.0952,(t),21/25
TGFB1,Myeloid,Liver,+9.1%,0.4848,,23/36,+46.8%,0.0173,*,28/30,+33.8%,0.1667,,15/18,-8.8%,0.5714,,10/15,+34.5%,0.1255,,24/30
TGFB1,Myeloid,Blood,+155.6%,0.0079,*,25/25,+176.0%,0.0159,*,20/20,+135.3%,0.0357,*,15/15,-14.8%,0.4,,9/12,+8.0%,0.4127,,14/20
TGFB1,NK,Blood,+22.8%,0.3095,,18/25,+76.6%,0.0159,*,20/20,+14.7%,0.7857,,9/15,-35.1%,0.4,,9/12,+43.9%,0.0159,*,20/20
TGFB1,PlasmaB,Blood,+197.8%,0.0159,*,24/25,+215.6%,0.0159,*,20/20,+95.8%,0.1429,,13/15,-38.0%,0.4,,9/12,+6.0%,1.0,,10/20
LGALS9,Myeloid,Blood,+93.7%,0.0159,*,24/25,+96.4%,0.0317,*,19/20,+67.7%,0.0714,(t),14/15,-14.6%,0.4,,9/12,+1.4%,1.0,,10/20
LGALS9,CD4_T,Liver,+104.9%,0.1488,,27/36,+131.4%,0.0173,*,28/30,+118.4%,0.1667,,15/18,-5.6%,0.5714,,10/15,+12.9%,0.9307,,16/30
LGALS9,NK,Liver,+61.6%,0.026,*,32/36,+10.5%,0.7922,,17/30,+2.4%,1.0,,9/18,-7.4%,0.7857,,9/15,-31.6%,0.0519,(t),26/30
SOCS1,CD4_T,Liver,-21.8%,0.2403,,26/36,-28.4%,0.2468,,22/30,-36.6%,0.0476,*,17/18,-11.4%,0.5714,,10/15,-8.4%,1.0,,15/30
SOCS1,CD4_T,Blood,-67.0%,0.0079,*,25/25,-23.6%,0.2857,,15/20,-65.3%,0.0714,(t),14/15,-54.6%,1.0,,6/12,+131.5%,0.9048,,9/20
SOCS1,CD8_T,Blood,-64.0%,0.0079,*,25/25,-12.9%,0.2857,,15/20,-68.1%,0.0357,*,15/15,-63.4%,0.8571,,7/12,+142.1%,0.7302,,8/20
SOCS1,NK,Liver,-22.5%,0.026,*,32/36,-25.6%,0.1775,,23/30,-38.6%,0.0238,*,18/18,-17.5%,0.3929,,11/15,-4.0%,0.7922,,13/30
SOCS1,PlasmaB,Liver,+128.4%,0.0823,(t),25/30,+262.4%,0.0519,(t),26/30,+203.3%,0.0238,*,18/18,-16.3%,1.0,,8/15,+58.7%,0.4206,,17/25
SOCS3,CD4_T,Blood,-76.9%,0.0079,*,25/25,-65.2%,0.1111,,17/20,-73.3%,0.0357,*,15/15,-23.3%,1.0,,6/12,+50.7%,1.0,,10/20
SOCS3,CD8_T,Blood,-78.9%,0.0159,*,24/25,-49.1%,0.1111,,17/20,-71.6%,0.1429,,13/15,-44.2%,0.8571,,7/12,+141.2%,0.7302,,12/20
PRDM1,CD4_T,Liver,-36.4%,0.0022,*,36/36,-45.8%,0.0043,*,30/30,-25.4%,0.2619,,14/18,+37.8%,0.25,,12/15,-14.9%,0.5368,,19/30
PRDM1,CD4_T,Blood,-58.5%,0.0079,*,25/25,-64.0%,0.0159,*,20/20,-68.9%,0.0357,*,15/15,-13.6%,0.6286,,8/12,-13.2%,0.7302,,12/20
PRDM1,CD8_T,Blood,-57.9%,0.0079,*,25/25,-45.9%,0.1111,,17/20,-41.3%,0.1429,,13/15,+8.5%,0.8571,,7/12,+28.7%,0.2857,,15/20
PRDM1,NK,Blood,-31.4%,0.0556,(t),22/25,-50.0%,0.0159,*,20/20,-34.8%,0.1429,,13/15,+30.5%,0.4,,9/12,-27.2%,0.1111,,17/20
BCL6,CD8_T,Liver,+163.1%,0.0043,*,35/36,+85.8%,0.1775,,23/30,+33.0%,0.5476,,12/18,-28.4%,1.0,,8/15,-29.4%,0.2468,,22/30
BCL6,B,Blood,+217.9%,0.0119,*,25/25,+402.2%,0.0195,*,20/20,+63.5%,0.5486,,10/15,-67.4%,0.1143,,11/12,+58.0%,0.5556,,13/20
JAK1,Myeloid,Liver,+31.2%,0.132,,28/36,+58.4%,0.0303,*,27/30,+54.8%,0.0476,*,17/18,-2.3%,0.7857,,9/15,+20.7%,0.4286,,20/30
JAK1,Myeloid,Blood,+128.3%,0.0079,*,25/25,+135.5%,0.0159,*,20/20,+139.3%,0.0357,*,15/15,+1.6%,0.6286,,4/12,+3.2%,0.7302,,12/20
JAK1,CD4_T,Liver,+36.0%,0.0411,*,31/36,+30.6%,0.0823,(t),25/30,+29.0%,0.0952,(t),16/18,-1.3%,0.7857,,9/15,-3.9%,0.7922,,17/30
JAK1,CD4_T,Blood,+22.3%,0.0952,(t),21/25,+39.8%,0.0159,*,20/20,+42.0%,0.0357,*,15/15,+1.6%,0.8571,,7/12,+14.3%,0.1905,,16/20
JAK1,CD8_T,Liver,+18.4%,0.132,,28/36,+26.7%,0.1255,,24/30,+30.5%,0.0476,*,17/18,+3.0%,0.7857,,6/15,+7.0%,0.7922,,17/30
JAK1,CD8_T,Blood,+26.8%,0.5476,,16/25,+47.4%,0.0317,*,19/20,+48.3%,0.0357,*,15/15,+0.6%,1.0,,6/12,+16.2%,0.2857,,15/20
JAK1,NK,Blood,+46.9%,0.0079,*,25/25,+64.8%,0.0159,*,20/20,+51.2%,0.0357,*,15/15,-8.2%,0.6286,,8/12,+12.1%,0.1905,,16/20
JAK1,B,Liver,+73.1%,0.0043,*,30/30,+57.9%,0.0303,*,27/30,+66.9%,0.0476,*,17/18,+5.7%,0.7857,,9/15,-8.8%,0.6905,,15/25
JAK1,B,Blood,+46.6%,0.0079,*,25/25,+51.3%,0.0635,(t),18/20,+63.9%,0.0357,*,15/15,+8.3%,0.6286,,8/12,+3.2%,0.5556,,13/20
JAK1,PlasmaB,Liver,+76.1%,0.0173,*,28/30,+168.8%,0.0173,*,28/30,+123.5%,0.0238,*,18/18,-16.9%,0.3929,,11/15,+52.6%,0.0952,(t),21/25
JAK1,PlasmaB,Blood,+133.7%,0.0159,*,24/25,+96.8%,0.1905,,16/20,+79.9%,0.0714,(t),14/15,-8.6%,0.8571,,7/12,-15.8%,0.9048,,11/20
MTOR,Myeloid,Liver,+327.3%,0.0341,*,30/36,+50.9%,0.8422,,12/30,+276.9%,0.2807,,12/18,+149.7%,0.2662,,10/15,-64.7%,0.0617,(t),24/30
MTOR,Myeloid,Blood,+520.5%,0.0119,*,25/25,+608.5%,0.0195,*,20/20,+617.2%,0.0358,*,15/15,+1.2%,0.4,,3/12,+14.2%,0.7302,,12/20
MTOR,CD4_T,Liver,+154.9%,0.0087,*,34/36,+84.0%,0.0519,(t),26/30,+57.1%,0.381,,13/18,-14.6%,1.0,,8/15,-27.8%,0.329,,21/30
MTOR,CD8_T,Blood,+95.5%,0.2222,,19/25,+106.9%,0.0159,*,20/20,+130.1%,0.0357,*,15/15,+11.2%,0.4,,9/12,+5.8%,0.9048,,11/20
MTOR,B,Blood,+214.2%,0.0212,*,24/25,+195.6%,0.1099,,17/20,+255.2%,0.0358,*,15/15,+20.2%,0.8571,,7/12,-5.9%,1.0,,10/20
AIM2,Myeloid,Blood,+1431.2%,0.0112,*,25/25,+1705.3%,0.0179,*,20/20,+1359.0%,0.0325,*,15/15,-19.2%,0.6286,,8/12,+17.9%,0.5556,,13/20
AIM2,B,Liver,+114.7%,0.0519,(t),26/30,+191.6%,0.0087,*,29/30,+251.6%,0.0238,*,18/18,+20.6%,1.0,,8/15,+35.8%,0.2222,,19/25
AIM2,PlasmaB,Blood,+258.0%,0.057,(t),22/25,+271.6%,0.0617,(t),18/20,+484.5%,0.0325,*,15/15,+57.3%,0.2286,,10/12,+3.8%,0.7302,,12/20
MEFV,Myeloid,Blood,+201.1%,0.0079,*,25/25,+146.2%,0.1905,,16/20,+156.8%,0.0357,*,15/15,+4.3%,0.8571,,5/12,-18.2%,0.9048,,11/20
TYROBP,CD4_T,Liver,-15.6%,0.6991,,21/36,-47.0%,0.0173,*,28/30,-48.4%,0.0476,*,17/18,-2.7%,1.0,,7/15,-37.2%,0.4286,,20/30
TYROBP,CD8_T,Liver,-29.6%,0.5887,,22/36,-73.7%,0.0173,*,28/30,-65.1%,0.1667,,15/18,+32.5%,0.5714,,10/15,-62.6%,0.1255,,24/30
TYROBP,B,Liver,+7.1%,1.0,,15/30,-59.8%,0.4286,,20/30,-100.0%,0.0591,(t),15/18,-100.0%,0.0325,*,15/15,-62.5%,0.4206,,17/25
TYROBP,PlasmaB,Liver,+237.6%,0.0087,*,29/30,+205.6%,0.0823,(t),25/30,+235.8%,0.0476,*,17/18,+9.9%,0.7857,,9/15,-9.5%,0.6905,,15/25
TYROBP,PlasmaB,Blood,+910.8%,0.0079,*,25/25,+774.6%,0.0159,*,20/20,+170.8%,0.3929,,11/15,-69.0%,0.0571,(t),12/12,-13.5%,0.7302,,12/20
FCER1G,B,Liver,+149.3%,0.4859,,15/30,+223.9%,0.0759,(t),25/30,-100.0%,0.3768,,6/18,-100.0%,0.0325,*,15/15,+29.9%,0.402,,17/25
FCER1G,PlasmaB,Liver,+219.4%,0.0173,*,28/30,+213.2%,0.0519,(t),26/30,+274.5%,0.0238,*,18/18,+19.6%,0.7857,,9/15,-1.9%,0.8413,,11/25
FCER1G,PlasmaB,Blood,+514.8%,0.0212,*,24/25,+437.3%,0.0651,(t),18/20,+92.9%,0.2302,,12/15,-64.1%,0.0571,(t),12/12,-12.6%,0.7302,,12/20
