Gene,Lineage,Tissue,NL->IT,NL->IA,NL->AR,IA vs AR
SOCS3,CD8_T,Blood,*-78.9% (p=0.016),-49.1% (p=0.111),-71.6% (p=0.143),-44.2% (p=0.857)
PRDM1,CD4_T,Liver,*-36.4% (p=0.002),*-45.8% (p=0.004),-25.4% (p=0.262),+37.8% (p=0.250)
PRDM1,CD4_T,Blood,*-58.5% (p=0.008),*-64.0% (p=0.016),*-68.9% (p=0.036),-13.6% (p=0.629)
PRDM1,CD8_T,Blood,*-57.9% (p=0.008),-45.9% (p=0.111),-41.3% (p=0.143),+8.5% (p=0.857)
PRDM1,NK,Blood,(t)-31.4% (p=0.056),*-50.0% (p=0.016),-34.8% (p=0.143),+30.5% (p=0.400)
BCL6,CD8_T,Liver,*+163.1% (p=0.004),+85.8% (p=0.177),+33.0% (p=0.548),-28.4% (p=1.000)
BCL6,B,Blood,*+217.9% (p=0.012),*+402.2% (p=0.019),+63.5% (p=0.549),-67.4% (p=0.114)
JAK1,Myeloid,Liver,+31.2% (p=0.132),*+58.4% (p=0.030),*+54.8% (p=0.048),-2.3% (p=0.786)
JAK1,Myeloid,Blood,*+128.3% (p=0.008),*+135.5% (p=0.016),*+139.3% (p=0.036),+1.6% (p=0.629)
JAK1,CD4_T,Liver,*+36.0% (p=0.041),(t)+30.6% (p=0.082),(t)+29.0% (p=0.095),-1.3% (p=0.786)
JAK1,CD4_T,Blood,(t)+22.3% (p=0.095),*+39.8% (p=0.016),*+42.0% (p=0.036),+1.6% (p=0.857)
JAK1,CD8_T,Liver,+18.4% (p=0.132),+26.7% (p=0.126),*+30.5% (p=0.048),+3.0% (p=0.786)
JAK1,CD8_T,Blood,+26.8% (p=0.548),*+47.4% (p=0.032),*+48.3% (p=0.036),+0.6% (p=1.000)
JAK1,NK,Blood,*+46.9% (p=0.008),*+64.8% (p=0.016),*+51.2% (p=0.036),-8.2% (p=0.629)
JAK1,B,Liver,*+73.1% (p=0.004),*+57.9% (p=0.030),*+66.9% (p=0.048),+5.7% (p=0.786)
JAK1,B,Blood,*+46.6% (p=0.008),(t)+51.3% (p=0.064),*+63.9% (p=0.036),+8.3% (p=0.629)
JAK1,PlasmaB,Liver,*+76.1% (p=0.017),*+168.8% (p=0.017),*+123.5% (p=0.024),-16.9% (p=0.393)
JAK1,PlasmaB,Blood,*+133.7% (p=0.016),+96.8% (p=0.191),(t)+79.9% (p=0.071),-8.6% (p=0.857)
MTOR,Myeloid,Liver,*+327.3% (p=0.034),+50.9% (p=0.842),+276.9% (p=0.281),+149.7% (p=0.266)
MTOR,Myeloid,Blood,*+520.5% (p=0.012),*+608.5% (p=0.019),*+617.2% (p=0.036),+1.2% (p=0.400)
MTOR,CD4_T,Liver,*+154.9% (p=0.009),(t)+84.0% (p=0.052),+57.1% (p=0.381),-14.6% (p=1.000)
MTOR,CD8_T,Blood,+95.5% (p=0.222),*+106.9% (p=0.016),*+130.1% (p=0.036),+11.2% (p=0.400)
MTOR,B,Blood,*+214.2% (p=0.021),+195.6% (p=0.110),*+255.2% (p=0.036),+20.2% (p=0.857)
AIM2,Myeloid,Blood,*+1431.2% (p=0.011),*+1705.3% (p=0.018),*+1359.0% (p=0.033),-19.2% (p=0.629)
AIM2,B,Liver,(t)+114.7% (p=0.052),*+191.6% (p=0.009),*+251.6% (p=0.024),+20.6% (p=1.000)
AIM2,PlasmaB,Blood,(t)+258.0% (p=0.057),(t)+271.6% (p=0.062),*+484.5% (p=0.033),+57.3% (p=0.229)
MEFV,Myeloid,Blood,*+201.1% (p=0.008),+146.2% (p=0.191),*+156.8% (p=0.036),+4.3% (p=0.857)
TYROBP,CD4_T,Liver,-15.6% (p=0.699),*-47.0% (p=0.017),*-48.4% (p=0.048),-2.7% (p=1.000)
TYROBP,CD8_T,Liver,-29.6% (p=0.589),*-73.7% (p=0.017),-65.1% (p=0.167),+32.5% (p=0.571)
TYROBP,B,Liver,+7.1% (p=1.000),-59.8% (p=0.429),(t)-100.0% (p=0.059),*-100.0% (p=0.033)
TYROBP,PlasmaB,Liver,*+237.6% (p=0.009),(t)+205.6% (p=0.082),*+235.8% (p=0.048),+9.9% (p=0.786)
TYROBP,PlasmaB,Blood,*+910.8% (p=0.008),*+774.6% (p=0.016),+170.8% (p=0.393),(t)-69.0% (p=0.057)
FCER1G,B,Liver,+149.3% (p=0.486),(t)+223.9% (p=0.076),-100.0% (p=0.377),*-100.0% (p=0.033)
FCER1G,PlasmaB,Liver,*+219.4% (p=0.017),(t)+213.2% (p=0.052),*+274.5% (p=0.024),+19.6% (p=0.786)
FCER1G,PlasmaB,Blood,*+514.8% (p=0.021),(t)+437.3% (p=0.065),+92.9% (p=0.230),(t)-64.1% (p=0.057)
